Sales taxable?,Categorization,Category,Sub,Sub-sub,Sub-sub-sub,Item,"All
consumer
units","Less
than
$15,000","$15,000
to
$29,999","$30,000
to
$39,999","$40,000
to
$49,999","$50,000
to
$69,999","$70,000
to
$99,999","$100,000
to
$149,999","$150,000
to
$199,999","$200,000
and
more",
Yes,Category,Food,,,,Food,"$7,923","$4,130","$4,628","$6,077","$6,286","$7,168","$8,753","$10,854","$13,195","$16,392",
-,Sub,,Food at home,,,Food at home,"$4,464","$2,690","$3,011","$3,744","$3,633","$4,228","$4,900","$5,759","$6,764","$8,002",
-,Sub-sub,,,Cereals and bakery products,,Cereals and bakery products,$569,$340,$396,$486,$442,$541,$629,$735,$869,$988,
-,Sub-sub-sub,,,,Cereals and cereal products,Cereals and cereal products,$178,$106,$126,$146,$133,$164,$194,$247,$269,$299,
-,Sub-sub-sub,,,,Bakery products,Bakery products,$392,$234,$269,$340,$310,$377,$435,$488,$600,$689,
-,Sub-sub,,,"Meats, poultry, fish, and eggs",,"Meats, poultry, fish, and eggs",$961,$588,$642,$786,$844,$892,"$1,042","$1,253","$1,453","$1,717",
-,Sub-sub-sub,,,,Beef,Beef,$253,$149,$164,$199,$215,$232,$280,$352,$391,$443,
-,Sub-sub-sub,,,,Pork,Pork,$180,$124,$127,$163,$158,$183,$188,$227,$256,$266,
-,Sub-sub-sub,,,,Other meats,Other meats,$129,$75,$73,$120,$117,$127,$146,$157,$207,$229,
-,Sub-sub-sub,,,,Poultry,Poultry,$180,$109,$126,$144,$154,$163,$196,$245,$278,$306,
-,Sub-sub-sub,,,,Fish and seafood,Fish and seafood,$154,$92,$108,$106,$147,$126,$163,$189,$227,$363,
-,Sub-sub-sub,,,,Eggs,Eggs,$64,$40,$45,$54,$53,$61,$69,$83,$94,$110,
-,Sub-sub,,,Dairy products,,Dairy products,$449,$258,$299,$386,$341,$422,$505,$579,$695,$816,
-,Sub-sub-sub,,,,Fresh milk and cream,Fresh milk and cream,$147,$99,$108,$130,$114,$139,$165,$178,$216,$234,
-,Sub-sub-sub,,,,Other dairy products,Other dairy products,$303,$159,$191,$256,$227,$283,$340,$401,$479,$582,
-,Sub-sub,,,Fruits and vegetables,,Fruits and vegetables,$858,$485,$589,$700,$690,$817,$933,"$1,111","$1,344","$1,567",
-,Sub-sub-sub,,,,Fresh fruits,Fresh fruits,$318,$183,$216,$250,$251,$287,$334,$426,$510,$622,
-,Sub-sub-sub,,,,Fresh vegetables,Fresh vegetables,$283,$158,$188,$212,$229,$274,$310,$365,$450,$542,
-,Sub-sub-sub,,,,Processed fruits,Processed fruits,$114,$59,$80,$108,$90,$117,$132,$139,$163,$187,
-,Sub-sub-sub,,,,Processed vegetables,Processed vegetables,$144,$85,$106,$131,$121,$140,$156,$181,$221,$215,
-,Sub-sub,,,Other food at home,,Other food at home,"$1,627","$1,019","$1,085","$1,386","$1,315","$1,554","$1,791","$2,082","$2,403","$2,913",
-,Sub-sub-sub,,,,Sugar and other sweets,Sugar and other sweets,$151,$93,$105,$137,$117,$139,$163,$190,$237,$259,
-,Sub-sub-sub,,,,Fats and oils,Fats and oils,$118,$72,$79,$109,$99,$111,$134,$149,$171,$189,
-,Sub-sub-sub,,,,Miscellaneous foods,Miscellaneous foods,$865,$529,$561,$718,$685,$833,$941,"$1,146","$1,309","$1,549",
-,Sub-sub-sub,,,,Nonalcoholic beverages,Nonalcoholic beverages,$438,$304,$318,$383,$372,$420,$500,$516,$580,$739,
-,Sub-sub-sub,,,,Food prepared by consumer unit on out-of-town trips,Food prepared by consumer unit on out-of-town trips,$56,$22,$21,$39,$42,$51,$53,$81,$107,$177,
-,Sub,,Food away from home,,,Food away from home,"$3,459","$1,440","$1,617","$2,334","$2,653","$2,941","$3,854","$5,095","$6,431","$8,391",
Yes,Category,Alcoholic beverages,,,,Alcoholic beverages,$583,$201,$190,$326,$383,$512,$569,$854,"$1,108","$2,052",
No,Category,Housing,,,,Housing,"$20,091","$10,083","$12,664","$14,744","$16,552","$18,274","$21,281","$25,957","$32,737","$47,553",
No,Sub,,Shelter,,,Shelter,"$11,747","$6,089","$7,584","$8,229","$9,485","$10,538","$12,460","$14,959","$18,687","$29,025",
No,Sub-sub,,,Owned dwellings,,Owned dwellings,"$6,678","$1,891","$2,908","$3,480","$4,137","$4,952","$7,050","$10,097","$13,678","$22,430",
No,Sub-sub-sub,,,,Mortgage interest and charges,Mortgage interest and charges,"$2,775",$543,$731,$968,"$1,478","$1,991","$3,218","$4,781","$6,324","$9,691",
No,Sub-sub-sub,,,,Property taxes,Property taxes,"$2,200",$699,"$1,044","$1,325","$1,431","$1,632","$2,151","$3,116","$4,356","$7,619",
No,Sub-sub-sub,,,,"Maintenance, repairs, insurance, other expenses","Maintenance, repairs, insurance, other expenses","$1,703",$649,"$1,133","$1,186","$1,228","$1,329","$1,681","$2,200","$2,998","$5,119",
No,Sub-sub,,,Rented dwellings,,Rented dwellings,"$4,249","$4,010","$4,446","$4,312","$4,846","$5,015","$4,693","$3,783","$3,003","$3,018",
No,Sub-sub,,,Other lodging,,Other lodging,$821,$187,$230,$437,$502,$571,$717,"$1,079","$2,006","$3,577",
No,Sub,,"Utilities, fuels, and public services",,,"Utilities, fuels, and public services","$4,049","$2,205","$3,005","$3,599","$3,808","$4,002","$4,539","$5,107","$5,684","$6,553",
No,Sub-sub,,,Natural gas,,Natural gas,$410,$222,$297,$357,$378,$387,$433,$529,$592,$761,
No,Sub-sub,,,Electricity,,Electricity,"$1,496",$967,"$1,259","$1,415","$1,471","$1,470","$1,616","$1,696","$1,961","$2,224",
No,Sub-sub,,,Fuel oil and other fuels,,Fuel oil and other fuels,$121,$58,$112,$112,$103,$96,$96,$142,$197,$301,
No,Sub-sub,,,Telephone services,,Telephone services,"$1,407",$647,$892,"$1,176","$1,269","$1,458","$1,691","$1,947","$2,086","$2,228",
No,Sub-sub-sub,,,,"Residential phone service, VOIP, and phone cards","Residential phone service, VOIP, and phone cards",$220,$163,$235,$245,$213,$204,$200,$227,$243,$301,
No,Sub-sub-sub,,,,Cellular phone service,Cellular phone service,"$1,188",$484,$657,$930,"$1,056","$1,255","$1,492","$1,721","$1,842","$1,926",
No,Sub-sub,,,Water and other public services,,Water and other public services,$614,$311,$444,$540,$587,$592,$703,$792,$848,"$1,039",
Yes,Sub,,Household operations,,,Household operations,"$1,522",$513,$774,$940,"$1,015","$1,116","$1,415","$2,044","$3,065","$5,398",
-,Sub-sub,,,Personal services,,Personal services,$472,$102,$116,$134,$189,$216,$414,$746,"$1,301","$2,236",
-,Sub-sub,,,Other household expenses,,Other household expenses,"$1,050",$410,$658,$806,$826,$900,"$1,001","$1,298","$1,764","$3,162",
Yes,Sub,,Housekeeping supplies,,,Housekeeping supplies,$747,$486,$457,$629,$699,$648,$799,$964,"$1,181","$1,406",
-,Sub-sub,,,Laundry and cleaning supplies,,Laundry and cleaning supplies,$184,$93,$139,$155,$241,$164,$192,$222,$275,$291,
-,Sub-sub,,,Other household products,,Other household products,$431,$326,$239,$337,$368,$374,$462,$564,$673,$875,
-,Sub-sub,,,Postage and stationery,,Postage and stationery,$132,$68,$79,$136,$90,$111,$146,$178,$233,$241,
Yes,Sub,,Household furnishings and equipment,,,Household furnishings and equipment,"$2,025",$790,$844,"$1,348","$1,544","$1,970","$2,069","$2,883","$4,120","$5,172",
-,Sub-sub,,,Household textiles,,Household textiles,$111,$56,$69,$87,$108,$85,$104,$164,$206,$229,
